Time 0
____________________________________
|----N of Face----|------Flow-------|
____________________________________
|                0|            0.125|
|                1|      4.46522e-18|
|                2|      8.66804e-18|
|                3|      4.46522e-18|
|                4|      8.66804e-18|
|                5|             0.25|
|                6|            0.125|
|                7|      3.85396e-18|
|                8|      8.66804e-18|
|                9|      4.46522e-18|
|               10|             0.25|
|               11|            0.125|
|               12|      4.46522e-18|
|               13|      3.85396e-18|
|               14|      8.66804e-18|
|               15|             0.25|
|               16|            0.125|
|               17|      3.85396e-18|
|               18|      3.85396e-18|
|               19|             0.25|
|               20|      5.41499e-18|
|               21|       7.1057e-18|
|               22|      5.41499e-18|
|               23|       7.1057e-18|
|               24|            0.125|
|               25|      3.66579e-18|
|               26|      1.65525e-17|
|               27|      5.41499e-18|
|               28|            0.125|
|               29|      5.41499e-18|
|               30|      3.66579e-18|
|               31|      1.65525e-17|
|               32|            0.125|
|               33|      3.66579e-18|
|               34|      3.66579e-18|
|               35|            0.125|
___________________________________

