31 29 7
-500 -500 0  -354.32 -500 0  -261.086 -500 0  -201.415 -500 0  -163.226 -500 0  -138.785 -500 0  -123.143 -500 0  -113.132 -500 0  -106.725 -500 0  -102.624 -500 0  -100 -500 0  -75 -500 0  -50 -500 0  -31.25 -500 0  -12.5 -500 0  6.25 -500 0  25 -500 0  43.75 -500 0  62.5 -500 0  81.25 -500 0  100 -500 0  104.714 -500 0  111.502 -500 0  121.276 -500 0  135.351 -500 0  155.619 -500 0  184.806 -500 0  226.834 -500 0  287.355 -500 0  374.504 -500 0  500 -500 0  
-500 -354.32 0  -354.32 -354.32 0  -261.086 -354.32 0  -201.415 -354.32 0  -163.226 -354.32 0  -138.785 -354.32 0  -123.143 -354.32 0  -113.132 -354.32 0  -106.725 -354.32 0  -102.624 -354.32 0  -100 -354.32 0  -75 -354.32 0  -50 -354.32 0  -31.25 -354.32 0  -12.5 -354.32 0  6.25 -354.32 0  25 -354.32 0  43.75 -354.32 0  62.5 -354.32 0  81.25 -354.32 0  100 -354.32 0  104.714 -354.32 0  111.502 -354.32 0  121.276 -354.32 0  135.351 -354.32 0  155.619 -354.32 0  184.806 -354.32 0  226.834 -354.32 0  287.355 -354.32 0  374.504 -354.32 0  500 -354.32 0  
-500 -261.086 0  -354.32 -261.086 0  -261.086 -261.086 0  -201.415 -261.086 0  -163.226 -261.086 0  -138.785 -261.086 0  -123.143 -261.086 0  -113.132 -261.086 0  -106.725 -261.086 0  -102.624 -261.086 0  -100 -261.086 0  -75 -261.086 0  -50 -261.086 0  -31.25 -261.086 0  -12.5 -261.086 0  6.25 -261.086 0  25 -261.086 0  43.75 -261.086 0  62.5 -261.086 0  81.25 -261.086 0  100 -261.086 0  104.714 -261.086 0  111.502 -261.086 0  121.276 -261.086 0  135.351 -261.086 0  155.619 -261.086 0  184.806 -261.086 0  226.834 -261.086 0  287.355 -261.086 0  374.504 -261.086 0  500 -261.086 0  
-500 -201.415 0  -354.32 -201.415 0  -261.086 -201.415 0  -201.415 -201.415 0  -163.226 -201.415 0  -138.785 -201.415 0  -123.143 -201.415 0  -113.132 -201.415 0  -106.725 -201.415 0  -102.624 -201.415 0  -100 -201.415 0  -75 -201.415 0  -50 -201.415 0  -31.25 -201.415 0  -12.5 -201.415 0  6.25 -201.415 0  25 -201.415 0  43.75 -201.415 0  62.5 -201.415 0  81.25 -201.415 0  100 -201.415 0  104.714 -201.415 0  111.502 -201.415 0  121.276 -201.415 0  135.351 -201.415 0  155.619 -201.415 0  184.806 -201.415 0  226.834 -201.415 0  287.355 -201.415 0  374.504 -201.415 0  500 -201.415 0  
-500 -163.226 0  -354.32 -163.226 0  -261.086 -163.226 0  -201.415 -163.226 0  -163.226 -163.226 0  -138.785 -163.226 0  -123.143 -163.226 0  -113.132 -163.226 0  -106.725 -163.226 0  -102.624 -163.226 0  -100 -163.226 0  -75 -163.226 0  -50 -163.226 0  -31.25 -163.226 0  -12.5 -163.226 0  6.25 -163.226 0  25 -163.226 0  43.75 -163.226 0  62.5 -163.226 0  81.25 -163.226 0  100 -163.226 0  104.714 -163.226 0  111.502 -163.226 0  121.276 -163.226 0  135.351 -163.226 0  155.619 -163.226 0  184.806 -163.226 0  226.834 -163.226 0  287.355 -163.226 0  374.504 -163.226 0  500 -163.226 0  
-500 -138.785 0  -354.32 -138.785 0  -261.086 -138.785 0  -201.415 -138.785 0  -163.226 -138.785 0  -138.785 -138.785 0  -123.143 -138.785 0  -113.132 -138.785 0  -106.725 -138.785 0  -102.624 -138.785 0  -100 -138.785 0  -75 -138.785 0  -50 -138.785 0  -31.25 -138.785 0  -12.5 -138.785 0  6.25 -138.785 0  25 -138.785 0  43.75 -138.785 0  62.5 -138.785 0  81.25 -138.785 0  100 -138.785 0  104.714 -138.785 0  111.502 -138.785 0  121.276 -138.785 0  135.351 -138.785 0  155.619 -138.785 0  184.806 -138.785 0  226.834 -138.785 0  287.355 -138.785 0  374.504 -138.785 0  500 -138.785 0  
-500 -123.143 0  -354.32 -123.143 0  -261.086 -123.143 0  -201.415 -123.143 0  -163.226 -123.143 0  -138.785 -123.143 0  -123.143 -123.143 0  -113.132 -123.143 0  -106.725 -123.143 0  -102.624 -123.143 0  -100 -123.143 0  -75 -123.143 0  -50 -123.143 0  -31.25 -123.143 0  -12.5 -123.143 0  6.25 -123.143 0  25 -123.143 0  43.75 -123.143 0  62.5 -123.143 0  81.25 -123.143 0  100 -123.143 0  104.714 -123.143 0  111.502 -123.143 0  121.276 -123.143 0  135.351 -123.143 0  155.619 -123.143 0  184.806 -123.143 0  226.834 -123.143 0  287.355 -123.143 0  374.504 -123.143 0  500 -123.143 0  
-500 -113.132 0  -354.32 -113.132 0  -261.086 -113.132 0  -201.415 -113.132 0  -163.226 -113.132 0  -138.785 -113.132 0  -123.143 -113.132 0  -113.132 -113.132 0  -106.725 -113.132 0  -102.624 -113.132 0  -100 -113.132 0  -75 -113.132 0  -50 -113.132 0  -31.25 -113.132 0  -12.5 -113.132 0  6.25 -113.132 0  25 -113.132 0  43.75 -113.132 0  62.5 -113.132 0  81.25 -113.132 0  100 -113.132 0  104.714 -113.132 0  111.502 -113.132 0  121.276 -113.132 0  135.351 -113.132 0  155.619 -113.132 0  184.806 -113.132 0  226.834 -113.132 0  287.355 -113.132 0  374.504 -113.132 0  500 -113.132 0  
-500 -106.725 0  -354.32 -106.725 0  -261.086 -106.725 0  -201.415 -106.725 0  -163.226 -106.725 0  -138.785 -106.725 0  -123.143 -106.725 0  -113.132 -106.725 0  -106.725 -106.725 0  -102.624 -106.725 0  -100 -106.725 0  -75 -106.725 0  -50 -106.725 0  -31.25 -106.725 0  -12.5 -106.725 0  6.25 -106.725 0  25 -106.725 0  43.75 -106.725 0  62.5 -106.725 0  81.25 -106.725 0  100 -106.725 0  104.714 -106.725 0  111.502 -106.725 0  121.276 -106.725 0  135.351 -106.725 0  155.619 -106.725 0  184.806 -106.725 0  226.834 -106.725 0  287.355 -106.725 0  374.504 -106.725 0  500 -106.725 0  
-500 -102.624 0  -354.32 -102.624 0  -261.086 -102.624 0  -201.415 -102.624 0  -163.226 -102.624 0  -138.785 -102.624 0  -123.143 -102.624 0  -113.132 -102.624 0  -106.725 -102.624 0  -102.624 -102.624 0  -100 -102.624 0  -75 -102.624 0  -50 -102.624 0  -31.25 -102.624 0  -12.5 -102.624 0  6.25 -102.624 0  25 -102.624 0  43.75 -102.624 0  62.5 -102.624 0  81.25 -102.624 0  100 -102.624 0  104.714 -102.624 0  111.502 -102.624 0  121.276 -102.624 0  135.351 -102.624 0  155.619 -102.624 0  184.806 -102.624 0  226.834 -102.624 0  287.355 -102.624 0  374.504 -102.624 0  500 -102.624 0  
-500 -100 0  -354.32 -100 0  -261.086 -100 0  -201.415 -100 0  -163.226 -100 0  -138.785 -100 0  -123.143 -100 0  -113.132 -100 0  -106.725 -100 0  -102.624 -100 0  -100 -100 0  -75 -100 0  -50 -100 0  -31.25 -100 0  -12.5 -100 0  6.25 -100 0  25 -100 0  43.75 -100 0  62.5 -100 0  81.25 -100 0  100 -100 0  104.714 -100 0  111.502 -100 0  121.276 -100 0  135.351 -100 0  155.619 -100 0  184.806 -100 0  226.834 -100 0  287.355 -100 0  374.504 -100 0  500 -100 0  
