_________________________________________________________________
|---N of Coord--|-------x-------|-------y-------|-------z-------|
_________________________________________________________________
|              0|           -500|           -500|              0|
|              1|        -354.32|           -500|              0|
|              2|       -261.086|           -500|              0|
|              3|       -201.415|           -500|              0|
|              4|       -163.226|           -500|              0|
|              5|       -138.785|           -500|              0|
|              6|       -123.143|           -500|              0|
|              7|       -113.132|           -500|              0|
|              8|       -106.725|           -500|              0|
|              9|       -102.624|           -500|              0|
|             10|           -100|           -500|              0|
|             11|            -75|           -500|              0|
|             12|            -50|           -500|              0|
|             13|         -31.25|           -500|              0|
|             14|          -12.5|           -500|              0|
|             15|           6.25|           -500|              0|
|             16|             25|           -500|              0|
|             17|          43.75|           -500|              0|
|             18|           62.5|           -500|              0|
|             19|          81.25|           -500|              0|
|             20|            100|           -500|              0|
|             21|        104.714|           -500|              0|
|             22|        111.502|           -500|              0|
|             23|        121.276|           -500|              0|
|             24|        135.351|           -500|              0|
|             25|        155.619|           -500|              0|
|             26|        184.806|           -500|              0|
|             27|        226.834|           -500|              0|
|             28|        287.355|           -500|              0|
|             29|        374.504|           -500|              0|
|             30|            500|           -500|              0|
|             31|           -500|        -354.32|              0|
|             32|        -354.32|        -354.32|              0|
|             33|       -261.086|        -354.32|              0|
|             34|       -201.415|        -354.32|              0|
|             35|       -163.226|        -354.32|              0|
|             36|       -138.785|        -354.32|              0|
|             37|       -123.143|        -354.32|              0|
|             38|       -113.132|        -354.32|              0|
|             39|       -106.725|        -354.32|              0|
|             40|       -102.624|        -354.32|              0|
|             41|           -100|        -354.32|              0|
|             42|            -75|        -354.32|              0|
|             43|            -50|        -354.32|              0|
|             44|         -31.25|        -354.32|              0|
|             45|          -12.5|        -354.32|              0|
|             46|           6.25|        -354.32|              0|
|             47|             25|        -354.32|              0|
|             48|          43.75|        -354.32|              0|
|             49|           62.5|        -354.32|              0|
|             50|          81.25|        -354.32|              0|
|             51|            100|        -354.32|              0|
|             52|        104.714|        -354.32|              0|
|             53|        111.502|        -354.32|              0|
|             54|        121.276|        -354.32|              0|
|             55|        135.351|        -354.32|              0|
|             56|        155.619|        -354.32|              0|
|             57|        184.806|        -354.32|              0|
|             58|        226.834|        -354.32|              0|
|             59|        287.355|        -354.32|              0|
|             60|        374.504|        -354.32|              0|
|             61|            500|        -354.32|              0|
|             62|           -500|       -261.086|              0|
|             63|        -354.32|       -261.086|              0|
|             64|       -261.086|       -261.086|              0|
|             65|       -201.415|       -261.086|              0|
|             66|       -163.226|       -261.086|              0|
|             67|       -138.785|       -261.086|              0|
|             68|       -123.143|       -261.086|              0|
|             69|       -113.132|       -261.086|              0|
|             70|       -106.725|       -261.086|              0|
|             71|       -102.624|       -261.086|              0|
|             72|           -100|       -261.086|              0|
|             73|            -75|       -261.086|              0|
|             74|            -50|       -261.086|              0|
|             75|         -31.25|       -261.086|              0|
|             76|          -12.5|       -261.086|              0|
|             77|           6.25|       -261.086|              0|
|             78|             25|       -261.086|              0|
|             79|          43.75|       -261.086|              0|
|             80|           62.5|       -261.086|              0|
|             81|          81.25|       -261.086|              0|
|             82|            100|       -261.086|              0|
|             83|        104.714|       -261.086|              0|
|             84|        111.502|       -261.086|              0|
|             85|        121.276|       -261.086|              0|
|             86|        135.351|       -261.086|              0|
|             87|        155.619|       -261.086|              0|
|             88|        184.806|       -261.086|              0|
|             89|        226.834|       -261.086|              0|
|             90|        287.355|       -261.086|              0|
|             91|        374.504|       -261.086|              0|
|             92|            500|       -261.086|              0|
|             93|           -500|       -201.415|              0|
|             94|        -354.32|       -201.415|              0|
|             95|       -261.086|       -201.415|              0|
|             96|       -201.415|       -201.415|              0|
|             97|       -163.226|       -201.415|              0|
|             98|       -138.785|       -201.415|              0|
|             99|       -123.143|       -201.415|              0|
|            100|       -113.132|       -201.415|              0|
|            101|       -106.725|       -201.415|              0|
|            102|       -102.624|       -201.415|              0|
|            103|           -100|       -201.415|              0|
|            104|            -75|       -201.415|              0|
|            105|            -50|       -201.415|              0|
|            106|         -31.25|       -201.415|              0|
|            107|          -12.5|       -201.415|              0|
|            108|           6.25|       -201.415|              0|
|            109|             25|       -201.415|              0|
|            110|          43.75|       -201.415|              0|
|            111|           62.5|       -201.415|              0|
