Time 0
_________________________________________________________________
|-------x-------|-------y-------|-------z-------|---Solution----|
_________________________________________________________________
|              0|              0|              0|              0|
|        0.03125|              0|              0|    0.000976562|
|         0.0625|              0|              0|     0.00390625|
|        0.09375|              0|              0|     0.00878906|
|          0.125|              0|              0|       0.015625|
|        0.15625|              0|              0|      0.0244141|
|         0.1875|              0|              0|      0.0351563|
|        0.21875|              0|              0|      0.0478516|
|           0.25|              0|              0|         0.0625|
|        0.28125|              0|              0|      0.0791016|
|         0.3125|              0|              0|      0.0976562|
|        0.34375|              0|              0|       0.118164|
|          0.375|              0|              0|       0.140625|
|        0.40625|              0|              0|       0.165039|
|         0.4375|              0|              0|       0.191406|
|        0.46875|              0|              0|       0.219727|
|            0.5|              0|              0|           0.25|
|        0.53125|              0|              0|       0.282227|
|         0.5625|              0|              0|       0.316406|
|        0.59375|              0|              0|       0.352539|
|          0.625|              0|              0|       0.390625|
|        0.65625|              0|              0|       0.430664|
|         0.6875|              0|              0|       0.472656|
|        0.71875|              0|              0|       0.516602|
|           0.75|              0|              0|         0.5625|
|        0.78125|              0|              0|       0.610352|
|         0.8125|              0|              0|       0.660156|
|        0.84375|              0|              0|       0.711914|
|          0.875|              0|              0|       0.765625|
|        0.90625|              0|              0|       0.821289|
|         0.9375|              0|              0|       0.878906|
|        0.96875|              0|              0|       0.938477|
|              1|              0|              0|              1|
|              0|        0.03125|              0|              0|
|        0.03125|        0.03125|              0|    0.000976562|
|         0.0625|        0.03125|              0|     0.00390625|
|        0.09375|        0.03125|              0|     0.00878906|
|          0.125|        0.03125|              0|       0.015625|
|        0.15625|        0.03125|              0|      0.0244141|
|         0.1875|        0.03125|              0|      0.0351563|
|        0.21875|        0.03125|              0|      0.0478516|
|           0.25|        0.03125|              0|         0.0625|
|        0.28125|        0.03125|              0|      0.0791016|
|         0.3125|        0.03125|              0|      0.0976562|
|        0.34375|        0.03125|              0|       0.118164|
|          0.375|        0.03125|              0|       0.140625|
|        0.40625|        0.03125|              0|       0.165039|
|         0.4375|        0.03125|              0|       0.191406|
|        0.46875|        0.03125|              0|       0.219727|
|            0.5|        0.03125|              0|           0.25|
|        0.53125|        0.03125|              0|       0.282227|
|         0.5625|        0.03125|              0|       0.316406|
|        0.59375|        0.03125|              0|       0.352539|
|          0.625|        0.03125|              0|       0.390625|
|        0.65625|        0.03125|              0|       0.430664|
|         0.6875|        0.03125|              0|       0.472656|
|        0.71875|        0.03125|              0|       0.516602|
|           0.75|        0.03125|              0|         0.5625|
|        0.78125|        0.03125|              0|       0.610352|
|         0.8125|        0.03125|              0|       0.660156|
|        0.84375|        0.03125|              0|       0.711914|
