Time 5
_____________________________________
|---N of Elem---|----Phase 0----|
|0              |0.999614       |
|1              |0.999321       |
|2              |0.999626       |
|3              |0.998259       |
|4              |0.998052       |
|5              |0.997962       |
|6              |0.997925       |
|7              |0.997911       |
|8              |0.997906       |
|9              |0.996305       |
|10             |0.999016       |
|11             |0.997906       |
|12             |0.997911       |
|13             |0.997925       |
|14             |0.997962       |
|15             |0.998052       |
|16             |0.998259       |
|17             |0.999626       |
|18             |0.999321       |
|19             |0.999614       |
|20             |0.999321       |
|21             |1.00051        |
|22             |0.998976       |
|23             |1.00084        |
|24             |1.00043        |
|25             |1.00042        |
|26             |1.00042        |
|27             |1.00042        |
|28             |1.00042        |
|29             |0.999833       |
|30             |1.00082        |
|31             |1.00042        |
|32             |1.00042        |
|33             |1.00042        |
|34             |1.00042        |
|35             |1.00043        |
|36             |1.00084        |
|37             |0.998976       |
|38             |1.00051        |
|39             |0.999321       |
|40             |0.999626       |
|41             |0.998976       |
|42             |1.00027        |
|43             |0.999561       |
|44             |1.00033        |
|45             |1.00015        |
|46             |1.00015        |
|47             |1.00015        |
|48             |1.00014        |
|49             |0.999913       |
|50             |1.0003         |
|51             |1.00014        |
|52             |1.00015        |
|53             |1.00015        |
|54             |1.00015        |
|55             |1.00033        |
|56             |0.999561       |
|57             |1.00027        |
|58             |1.00059        |
|59             |0.998596       |
|60             |0.998259       |
|61             |1.00084        |
|62             |0.999561       |
|63             |1.00011        |
|64             |0.999819       |
|65             |1.00013        |
|66             |1.00006        |
|67             |1.00006        |
|68             |1.00006        |
|69             |0.999966       |
|70             |1.00012        |
|71             |1.00006        |
|72             |1.00006        |
|73             |1.00006        |
|74             |1.00013        |
|75             |0.999819       |
|76             |1.00011        |
|77             |1.00024        |
|78             |1.00041        |
|79             |0.998259       |
|80             |0.998052       |
|81             |1.00043        |
|82             |1.00033        |
|83             |0.999819       |
|84             |1.00005        |
|85             |0.999926       |
|86             |1.00003        |
|87             |1.00002        |
|88             |1.00002        |
|89             |0.999988       |
|90             |1.00005        |
|91             |1.00002        |
|92             |1.00002        |
|93             |1.00003        |
|94             |0.999926       |
|95             |1.00005        |
|96             |1.00009        |
|97             |1.00016        |
|98             |1.00043        |
|99             |0.998052       |
|100            |0.997962       |
|101            |1.00042        |
|102            |1.00015        |
|103            |1.00013        |
|104            |0.999926       |
|105            |1.00002        |
|106            |1.00001        |
|107            |1.00001        |
|108            |1.00001        |
|109            |0.999996       |
|110            |1.00002        |
|111            |1.00001        |
|112            |1.00001        |
|113            |1.00001        |
|114            |1.00002        |
|115            |1.00003        |
|116            |1.00006        |
|117            |1.00015        |
|118            |1.00042        |
|119            |0.997962       |
|120            |0.997925       |
|121            |1.00042        |
|122            |1.00015        |
|123            |1.00006        |
|124            |1.00003        |
|125            |1.00001        |
|126            |1.00001        |
|127            |1.00001        |
|128            |1              |
|129            |0.999999       |
|130            |1.00001        |
|131            |1              |
|132            |1.00001        |
|133            |1.00002        |
|134            |1.00001        |
|135            |1.00003        |
|136            |1.00006        |
|137            |1.00015        |
|138            |1.00042        |
|139            |0.997925       |
|140            |0.997911       |
|141            |1.00042        |
|142            |1.00015        |
|143            |1.00006        |
|144            |1.00002        |
|145            |1.00001        |
|146            |1.00001        |
|147            |1              |
|148            |1              |
|149            |1              |
|150            |1              |
|151            |1              |
|152            |1              |
|153            |1              |
|154            |1.00001        |
|155            |1.00002        |
|156            |1.00006        |
|157            |1.00015        |
|158            |1.00042        |
|159            |0.997911       |
|160            |0.997906       |
|161            |1.00042        |
|162            |1.00014        |
|163            |1.00006        |
|164            |1.00002        |
|165            |1.00001        |
|166            |1              |
|167            |1              |
|168            |1              |
|169            |1              |
|170            |1              |
|171            |1              |
